,song_title,full_lyrics
141,Real Friends,"Real friends, how many of us?
How many of us, how many jealous? Real friends
It's not many of us, we smile at each other
But how many honest? Trust issues
Switched up the number, I can't be bothered
I cannot blame you for havin' an angle
I ain't got no issues, I'm just doin' my thing
Hope you're doin' your thing, too
I'm a deadbeat cousin, I hate family reunions
Fuck the church up by drinkin' at the communion
Spillin' free wine, now my tux is ruined
In town for a day, what the fuck we doin'?
Who your real friends? We all came from the bottom
I'm always blamin' you, but what's sad, you not the problem
Damn I forgot to call her, shit I thought it was Thursday
Why you wait a week to call my phone in the first place?
When was the last time I remembered a birthday?
When was the last time I wasn't in a hurry?

Tell me you want your tickets when it's gametime
Even to call your daughter on her FaceTime
Even when we was young I used to make time
Now we be way too busy just to make time
Even for my...

Real friends
I guess I get what I deserve, don't I?
Word on the streets is they ain't heard from him
I guess I get what I deserve, don't I?
Talked down on my name, throwed dirt on him

I couldn't tell you how old your daughter was
Couldn't tell you how old your son is
I got my own Jr. on the way, dawg
Plus I already got one kid
Couldn't tell you much about the fam though
I just showed up for the yams though
Maybe 15 minutes, took some pictures with your sister
Merry Christmas, then I'm finished, then it's back to business
You wanna ask some questions 'bout some real shit?
Like I ain't got enough pressure to deal with
Please don't pressure me with that bill shit
Cause everybody got 'em that ain't children
Oh you've been nothin' but a friend to me
Niggas thinkin' I'm crazy, you defendin' me
It's funny I ain't spoke to niggas in centuries
To be honest, dawg, I ain't feelin' your energy
Money turn your kin into an enemy
Niggas ain't real as they pretend to be

Lookin' for all my real friends
How many of us? How many of us are real friends
To real friends, 'til the reel end
'Til the wheels fall off, 'til the wheels don't spin
To 3 A.M., callin'
How many real friends?
Just to ask you a question
Just to see how you was feelin'
How many?
For the last you was frontin'
I hate when a nigga text you like, ""What's up, fam? Hope you good""
You say, ""I'm good, I'm great,"" the next text they ask you for somethin'
How many?
What's best for your family, immediate or extended
Any argument, the media'll extend it
I had a cousin that stole my laptop that I was fuckin' bitches on
Paid that nigga 250 thousand just to get it from him
Real friends
Huh?

Real friends
I guess I get what I deserve, don't I
Word on the streets is they ain't heard from him
I guess I get what I deserve, don't I
Talked down on my name, throwed dirt on him"
142,No More Parties in LA,"La-di-da-da-a, da-a (I like this flavor)
La-da-da-da-di-da-da-a, la-a (la-a, la-a, la-a)
Let me tell you, I'm out here
From a very far away place
All for a chance to be a star
Nowhere seems to be too far

No more parties in L.A.
Please, baby, no more parties in L.A., uh
No more parties in L.A.
Please, baby, no more parties in L.A., uh
No more
Los Angeles
Please (shake that body, party that bod-)
Please (shake that body, party that body)
Please (shake that body, party that body)

Hey, baby, you forgot your Ray Bans
And my sheets still orange from your spray tan
It was more than soft porn for the K-man
She remember my Sprinter, said ""I was in the grape van""
Uhm—well, cutie—I like your bougie booty
Come, Erykah-Badu-me—well, let's make a movie
Hell, you know my repertoire is like a wrestler
I show you the ropes, connect the dots
A country girl that love Hollywood
Mama used to cook red beans and rice
Now it's Denny's, 4 in the morning, spoil your appetite
Liquor pouring and niggas swarming your section with erection
Smoke in every direction, middle finger pedestrians
R&B singers and lesbians, rappers and managers
Music and iPhone cameras
This shit unanimous for you, it's damaging for you, I think
That pussy should only be holding exclusive rights to me, I mean
He flew you in this motherfucker on first class
Even went out his way so you could check in an extra bag
Now you wanna divide the yam like it equate the math?
That shit don't add up, you're making him mad as fuck
She said she came out here to find an A-list rapper
I said baby, spin that 'round and say the alphabet backwards
You're dealing with malpractice, don't kill a good nigga's confidence
Just 'cause he a nerd and you don't know what a condom is
The head still good though, the head still good though
Make me say ""Nam Myoho Renge Kyo""
Make a nigga say big words and act lyrical
Make me get spiritual
Make me believe in miracles, Buddhist monks and Cap'n Crunch cereal
Lord have mercy, thou will not hurt me
Five buddies all herded up on a Thursday
Bottle service, head service, I came in first place
The opportunity, the proper top of breast and booty cheek
The pop community, I mean these bitches come with union fee
And I want two of these, moving units through consumer streets
Then my shoe released, she was kickin' in gratuity
And yeah G, I was all for it
She said, ""K Lamar, you kind of dumb to be a poet""
I'ma put you on game for the lames that don't know they're a rookie
Instagram is the best way to promote some pussy

Scary, scary
No more parties in L.A.
Please, baby, no more parties in L.A.

Friday night tryna make it into the city
Breakneck speeds, passenger seat somethin' pretty
Thinking back to how I got here in the first place
Second class bitches wouldn't let me on first base
A backpack nigga with luxury taste buds
And the Louis Vuitton store, got all of my pay stubs
Got pussy from beats I did for niggas more famous
When did I become A list? I wasn't even on a list
Strippers get invited to where they only got hired
When I get on my Steve Jobs, somebody gon' get fired
I was uninspired since Lauryn Hill retired
And 3 Stacks, man, you preach it to the choir
Any rumor you ever heard about me was true and legendary
I done got Lewinsky and paid secretaries
For all my niggas with babies by bitches
That use they kids as meal tickets
Not knowin' the disconnect from the father
The next generation will be the real victims
I can't fault 'em, really
I remember Amber told my boy no matter what happens she ain't goin' back to Philly
Back to our regularly scheduled programmin'
Of weak content and slow jammin'
But don't worry, this one's so jammin'
You know it, LA, it's so jammin'
I be thinkin' every day
Mulholland Drive, need to put up some goddamn barricades
I be paranoid every time
The pressure, the problem ain't I be drivin'
The problem is I be textin'
My psychiatrist got kids that I inspired
First song they played for me was 'bout their friend that just died
Textin' and drivin' down Mulholland Drive
That's why I'd rather take the 405
I be worried 'bout my daughter, I be worried 'bout Kim
But Saint is baby 'Ye, I ain't worried 'bout him
Had my life threatened by best friends with selfish intents
What I'm supposed to do?
Ride around with a bulletproof car and some tints?
Every agent I know, know I hate agents
I'm too black, I'm too vocal, I'm too flagrant
Something smellin' like shit, that's the new fragrance
It's just me, I do it my way, bitch
Some days I'm in my Yeezys, some days I'm in my Vans
If I knew y'all made plans I wouldn't have popped the Xans
I know some fans thought I wouldn't rap like this again
But the writer's block is over, emcees cancel your plans
A 38-year-old 8-year-old with rich nigga problems
Tell my wife that I hate the Rolls so I don't never drive it
It took 6 months to get the Maybach all matted out
And my assistant crashed it soon as they backed it out
God damn, got a bald fade, I might slam
Pink fur, got Nori dressin' like Cam
Thank God for me
Whole family gettin' money, thank God for E!
I love rockin' jewelry, a whole neck full
Bitches say he funny and disrespectful
I feel like Pablo when I'm workin' on my shoes
I feel like Pablo when I see me on the news
I feel like Pablo when I'm workin' on my house
Tell 'em party's in here, we don't need to go out
We need the turbo thots, high speed, turbo thots
Drop-dro-dro-dro-drop it like Robocop
She brace herself and hold my stomach, good dick'll do that
She keep pushin' me back, good dick'll do that
She push me back when the dick go too deep
This good dick'll put your ass to sleep
Get money, money, money, money
Big, big money, money, money, money
And as far as real friends, tell all my cousins I love 'em
Even the one that stole the laptop, you dirty motherfucker

I just keep on lovin' you, baby
And there's no one else I know who can take your place

Please, no more parties in L.A.
Please, baby, no more parties in L.A., uh
No more parties in L.A.
Please, baby, no more parties in L.A., uh
No more parties in L.A.
Please, baby, no more parties in L.A., uh
No more
Los Angeles

Let me tell you, I'm out here from a very far away place
All for a chance to be a star
Nowhere seems to be too far
Swish"
143,"Father Stretch My Hands, Pt. 1","You're the only power (power)
You're the only power that can
You're the only power (power)
You're the only power that can
Ohh, ohh, ohh, father...
If young Metro don't trust you I'm gon' shoot you

Beautiful mornin', you're the sun in my mornin', babe
Who can I turn to?
Nothin' unwanted
After all, who can I turn to?
Beautiful mornin', you're the sun in my mornin', babe
If I don't turn to you
Nothin' unwanted
No other help I know, I stretch my hands

I just wanna feel liberated, I-I, na-na-na
Who can I turn to?
I just wanna feel liberated, I-I, na-na-na
After all, who can I turn to?
If I ever instigated, I am sorry
If I don't turn to you
Tell me who in here could relate, I-I-I
No other help I know, I stretch my hands

Now, if I fuck this model
And she just bleached her asshole
And I get bleach on my T-shirt
I'ma feel like an asshole
I was high when I met her
We was down in Tribeca
She'll get under your skin if you let her
She'll get under your skin if you-uh
I don't even wanna talk about it
I don't even wanna talk about it
I don't even wanna say nothin'
Everybody gon' say somethin'
I'd be worried if they said nothin'
Remind me where I know you from
She lookin' like she owe you some'n
You know just what we want
I wanna wake up with you in my...
I wanna wake up with you in my...

Beautiful mornin', you're the sun in my mornin', babe
Who can I turn to?
Beautiful mornin'
Nothin' unwanted
After all, who can I turn to?
Beautiful mornin', you're the sun in my mornin', babe
If I don't turn to you
Nothin' unwanted
No other help I know, I stretch my hands

I just wanna feel liberated, I-I, na-na-na
Who can I turn to?
I just wanna feel liberated, I-I, na-na-na
After all, who can I turn to?
If I ever instigated, I am sorry
If I don't turn to you
Tell me who in here could relate, I-I-I
No other help I know, I stretch my hands"
144,FML,"I been waiting for a minute
For my lady
So I can't jeopardize that for one of these hoes
I been living without limits
As far as my business
I'm the only one that's in control
I been feeling all I've given
For my children
I will die for those I love
God, I'm willing
To make this my mission
Give up the women
Before I lose half of what I own
I been thinking
About my vision
Pour out my feelings
Revealing the layers to my soul
My soul
The layers to my soul
Revealing the layers to my soul

They wish I would go ahead and fuck my life up
Can't let them get to me
And even though I always fuck my life up
Only I can mention me

See, before I let you go
One last thing I need to let you know
You ain't never seen nothing crazier than
This nigga when he off his Lexapro
Remember that last time in Mexico?
Remember that last time, the episode?
Asking me why the hell I text in code?
Four times just to say, ""Don't text me, ho""
Told you four times, ""Don't test me, ho""
And we finna lose all self-control
But you ain't finna be raising your voice at me
Especially when we in the Giuseppe store
But I'ma have the last laugh in the end
'Cause I'm from a tribe called check a ho
Yeah, I'ma have to laugh Indian
'Cause I'm from a tribe called check a ho
And I...

They wish I would go ahead and fuck my life up
Can't let them get to me
And even though I always fuck my life up
Only I can mention me
They wish I would go ahead and fuck my life up
Can't let them get to me
And even though I always fuck my life up
Only I can mention me

See through the veil
And forget all of your cares
Throw them
Throw them away
Don't stop your loving
Don't stop for nothing
No, not for nothing
They don't wanna see me love you
Don't now, don't stop it
They always love it
They always wanna
They don't wanna see me love you
See through the veil
They don't wanna see me love you
And forget all your cares
They don't wanna see me love you
Throw them
Throw them away
Ooh, life's a feeling and
Ooh, the body is a feeling, yeah"
145,Ultralight Beam,"(Yes, God)
We don't want no devils in the house, God (Yes, Lord)
We want the lord (Yes, Jesus)
And that's it (Yes, God)
Hallej- hand over Satan (Yes, Jesus)
Jesus praise the Lord (Yes, God)
Hallelujah, God (Yes, God)
We don't want no devils in the house, God (Yes, Lord)
We want the lord (Yes, Jesus)
And that's it (Yes, God)
Hallej- hand over Satan (Yes, Jesus)
Jesus praise the Lord (Yes, God)

I'm tryna keep my faith
We on an ultralight beam
We on an ultralight beam
This is a God dream
This is a God dream
This is everything
This is everything

Deliver us serenity
Deliver us peace
Deliver us loving
We know we need it
You know we need it
You know we need it
That's why we need you now, oh
Pray for Paris
Pray for the parents
This is a God dream
This is a God dream
This is a God dream

We on an ultralight beam
We on an ultralight beam
This is a God dream
This is a God dream
This is everything
Everything (Thing, thing, thing)

I'm tryna keep my faith
But I'm looking for more
Somewhere I can feel safe
And end my holy war
I'm tryna keep my faith

So why send oppression not blessings?
Why, oh, why'd you do me wrong? (More)
You persecute the weak
Because it makes you feel so strong
(To save) Don't have much strength to fight
So I look to the light
(War) To make these wrongs turn right
Head up high, I look to the light
Hey, 'cause I know that you'll make everything alright
And I know that you'll take good care of your child
Oh, no longer am afraid of the night
'Cause I, I look to the light

When they come for you, I will shield your name
I will field their questions, I will feel your pain
No one can judge
They don't, they don't know
They don't know
Foot on the Devil's neck 'til it drifted Pangaea
I'm moving all my family  from Chatham to Zambia
Treat the demons just like Pam
I mean I fuck with your friends, but damn, Gina
I been this way since Arthur was anteater
Now they wanna hit me with the woo wap, the bam
Tryna snap  photos of familia
My daughter look just like Sia, you can't see her
You can feel the lyrics, the spirit coming in braille
Tubman of the underground, come and follow the trail
I made Sunday Candy, I'm never going to hell
I met Kanye West, I'm never going to fail
He said, ""Let's do a good ass job with 'Chance 3'""
I hear you gotta sell it to snatch the Grammy
Let's make it so free and the bars so hard
That there ain't one gosh darn part you can't tweet
This is my part, nobody else speak
This is my part, nobody else speak
This little light of mine
Glory be to God, yeah
I'ma make sure that they go where they can't go
If they don't wanna ride I'ma still give 'em raincoats
Know what God said when he made the first rainbow
Just throw this at the end if I'm too late for the intro
Ugh, I'm just having fun with it
You know that a nigga was lost
I laugh in my head
'Cause I bet that my ex looking back like a pillar of salt
Ugh, 'cause they'll flip the script on your ass like Wesley and Spike
You cannot mess with the light
Look at lil' Chano from 79th

We on an ultralight beam
We on an ultralight beam
This is a God dream
This is a God dream
This is everything
Everything

(Yes, God)
(Hallelujah)
I'm tryna keep my faith
(Yes, Jesus)
But I'm looking for more
Somewhere I can feel safe
And end my holy war

Father, this prayer is for everyone that feels they're not good enough
This prayer's for everybody that feels like they're too messed up
For everyone that feels they've said ""I'm sorry"" too many times
You can never go too far when you can't come back home again
That's why I need...
Faith, more, safe, war"
146,Wolves,"Lost out, beat up
Dancin', down there
I found you, somewhere out
'Round 'round there, right right there
Lost and beat up
Down there, dancin'
I found you, somewhere out
Right down there, right 'round there

Lost and, found out
Turned out, how you thought
Daddy, found out
That you turned out, how you turned out
If mama knew now
How you turned out, you too wild
You too wild, you too wild
You too wild, I need you now
Love you, got to
Love you, love you
Found you, found you
Right now, right now
Right now, right now
If your mama knew how
You turned out, you too wild
You too wild, you too wild
You too wild, and I need you now
Lost in... my doubt

Cry, I'm not sorry
Cry, who needs sorry when there's Hennessy?
Don't fool yourself
Your eyes don't lie, you're much too good to be true
Don't fire fight
Yeah I feel you burning, everything's burning
Don't fly so high
Your wings might melt, you're much too good to be true
I'm just bad for you
I'm just bad, bad, bad for you

I was lost and beat up
Turned out, burned up
You found me, through a heartache
Didn't know me, you were drawn in
I was lost and beat up
I was warm flesh, unseasoned
You found me, in your gaze
Well, I found me, oh, Jesus
I was too wild, I was too wild
I was too wild, I was too wild
I was too wild, I was too wild

And I need you now
Lost and found out

You gotta let me know if I could be your Joseph
Only tell you real shit, that's the tea, no sip
Don't trip, don't trip, that pussy slippery, no whip
We ain't trippin' on shit, we just sippin' on this
Just forget the whole shit, we could laugh about nothin'
I impregnate your mind, let's have a baby without fuckin', yo
I know it's corny bitches you wish you could unfollow
I know it's corny niggas you wish you could unswallow
I know it's corny bitches you wish you could unfollow
I know it's corny niggas you wish you could unswallow
I know it's corny bitches you wish you could unfollow
I know it's corny niggas you wish you could unswallow
You tried to play nice, everybody just took advantage
You left your fridge open, somebody just took a sandwich
I said baby what if you was clubbin'
Thuggin', hustlin' before you met your husband?
Then I said, ""What if Mary was in the club
'Fore she met Joseph around hella thugs?
Cover Nori in lambs' wool
We surrounded by the fuckin' wolves""
(What if Mary) ""What if Mary
(Was in the club) was in the club
'Fore she met Joseph with no love?
Cover Saint in lambs' wool
(And she was) We surrounded by
(Surrounded by) the fuckin' wolves"""
147,Famous,"Man, I can understand how it might be
Kinda hard to love a girl like me
I don't blame you much for wanting to be free
I just wanted you to know
Swizz told me let the beat rock

For all my Southside niggas that know me best
I feel like me and Taylor might still have sex
Why? I made that bitch famous (Goddamn)
I made that bitch famous
For all the girls that got dick from Kanye West
If you see 'em in the streets give 'em Kanye's best
Why? They mad they ain't famous (Goddamn)
They mad they still nameless (Talk that talk, man)
Her man in the store tryna try his best
But he just can't seem to get Kanye fresh
But we still hood famous (Goddamn)
Yeah, we still hood famous

I just wanted you to know
I've loved you better than your own kin did
From the very start
I don't blame you much for wanting to be free
Wake up, Mr. West! Oh, he's up!
I just wanted you to know

I be Puerto Rican day parade floatin'
That Benz Marina Del Rey coastin'
She in school to be a real estate agent
Last month I helped her with the car payment
Young and we alive, whoo!
We never gonna die, whoo!
I just copped a jet to fly over personal debt
Put one up in the sky
The sun is in my eyes, whoo!
Woke up and felt the vibe, whoo!
No matter how hard they try, whoo!
We never gonna die

I just wanted you to know
Get 'em!

Bam, 'ey 'ey 'ey
Bam bam, bam, bam bam dilla
Bam bam 'ey 'ey 'ey
What a bam, bam, bam bam dilla
How you feeling right now? Let me see your lighters in the air
Bam bam 'ey 'ey 'ey 'ey 'ey
Bam bam 'ey 'ey 'ey
What a bam
Let me see your middle finger in the air
Bam 'ey 'ey 'ey
Bam bam, bam, bam bam dilla
Let me see you act up in this motherfucker
Bam bam 'ey 'ey 'ey
What a bam, bam, bam bam dilla
How you feelin', how you feelin, how you feelin' in this mother fucker, god damn
Bam bam 'ey 'ey 'ey 'ey 'ey
Bam bam 'ey 'ey 'ey
What a bam
One thing you can't do is stop us now
Bam 'ey 'ey 'ey
Bam bam bam, bam bam dilla
Ayy, you can't stop the thing now
Bam bam 'ey 'ey 'ey
What a bam, bam, bam bam dilla
Man, it's way too late, it's way too late, it's way too late, you can't fuck with us
Bam bam, 'ey 'ey 'ey 'ey 'ey
Bam bam, 'ey 'ey 'ey
What a bam
To the left, to the right
Bam 'ey 'ey 'ey
Bam bam bam, bam bam dilla
I wanna see everybody hands in the air like this
Bam bam 'ey 'ey 'ey
What a bam, bam, bam bam dilla
Bam bam 'ey 'ey 'ey 'ey 'ey
Bam bam 'ey 'ey 'ey
What a bam, bam

I just wanted you to know
I loved you better than your own kin did
From the very start
I don't blame you much for wanting to be free
I just wanted you to know"
148,Pt. 2,"Faaaaaaaa—
Perfect
Faaaaaaaa—
Faaaaaaaa—
Faaaaaaaa—

I told, I told, ayy-ayy, I told you
Up in the mornin', miss you bad
Sorry I ain't call you back, same problem my father had
All this time, all he had, all he had
And what he dreamed, all his cash
Market crashed, hurt him bad
People get divorced for that
Dropped some stacks, pops is good
Mama passed in Hollywood
If you ask, lost my soul
Drivin' fast, lost control
Off the road, jaw was broke
'Member we all was broke
'Member I'm comin' back
I'll be takin' all the stacks, oh

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Stacks, oh
Credit cards and the scammers
Hittin' off licks in the bando
Takin' all the stacks, oh
Black X6, Phantom
White X6 looks like a panda
Stacks, oh
Going out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga, pull up ya panty
Hope you killas understand me

I just wanna feel liberated, I, I, I (hey)
I just wanna feel liberated, I, I, I (Panda)
Panda, panda, panda, panda
Takin' all the stacks, oh
Panda, panda, panda
Stacks, oh
Takin' all the stacks, oh

I got broads in Atlanta
Twist the dope, lean and shit, sippin' Fanta
Stacks, oh
Credit cards and the scammers
Wake up Versace, shit life Desiigner
Takin' all the stacks, oh
Whole bunch of lavish shit
They be askin' 'round town who be clappin' shit
I be pullin' up stuff in the Phantom ship
I got plenty of stuff of Bugatti, whip look how I try this shit
Black X6, Phantom
White X6, killin' on camera

How can I find you?
Who do you turn to?
How do I bind you?

If I don't turn to you
No other help I know, I stretch my hands"
149,I Love Kanye,"I miss the old Kanye, straight from the Go Kanye
Chop up the soul Kanye, set on his goals Kanye
I hate the new Kanye, the bad mood Kanye
The always rude Kanye, spaz in the news Kanye
I miss the sweet Kanye, chop up the beats Kanye
I gotta say, at that time I'd like to meet Kanye
See, I invented Kanye, it wasn't any Kanyes
And now I look and look around and there's so many Kanyes
I used to love Kanye, I used to love Kanye
I even had the pink polo, I thought I was Kanye
What if Kanye made a song about Kanye
Called ""I Miss The Old Kanye""? Man, that'd be so Kanye
That's all it was Kanye, we still love Kanye
And I love you like Kanye loves Kanye"
150,Waves,"Turn me up!

Step up in this bitch like (Turn me up!)
I'm the one your bitch like
Yeah I'm the one your bitch like (Turn me up!)
And I be talkin' shit like
I ain't scared to lose a fistfight (Turn me up!)
And she grabbin' on my **** like
She wanna see if it'll fit right (Turn me up!)
That's just the wave

(Yeah) Waves don't die
Let me crash here for the moment, yeah
I don't need to own it
No lie
Waves don't die, baby
Let me crash here for a moment
Baby, I don't, I don't need to own you
(Yeah, yeah, yeah, yeah) (Turn me up!)

Sun don't shine in the shade, ugh (Turn me up!)
Bird can't fly in a cage, ugh (Turn me up!)
Even when somebody go away (Turn me up!)
The feelings don't really go away
That's just the wave

(Yeah) Waves don't die
Let me crash here for the moment
I don't need to own it
No lie
Waves don't die, baby
Let me crash here for a moment
Baby, I don't, I don't need to own you
(Yeah, yeah, yeah, yeah)

No lie
No lie
No lie
You set the night on fire
I'm still gon' be here in the morning
No lie

(Humming)

No lie
Ooh baby, ooh baby, ooh yeah
You set the night on fire
I'm still gon' be here in the morning
No lie"
151,Saint Pablo,"Yeah, 9:08 L.A. time
Back in the lab and shit

My wife said, I can't say no to nobody
And at this rate we gon' both die broke
Got friends that ask me for money knowin' I'm in debt
And like my wife said, I still didn't say no
People tryna say I'm goin' crazy on Twitter
My friends' best advice was to stay low
I guess it's hard to decipher all of the bills
Especially when you got family members on payroll
The media said it was outlandish spendin'
The media said he's way out of control
I just feel like I'm the only one not pretendin'
I'm not out of control, I'm just not in they control
I know I'm the most influential
That TIME cover was just confirmation
This generation's closest thing to Einstein
So don't worry about me, I'm fine
I can see a thousand years from now in real life
Skate on the paradigm and shift it when I feel like
Troll conventional thought, don't need to question
I know it's antiquated so sometimes I get aggressive
Thank God for Jay Electra, he down with the mission
Did it with no permission, on our own conditions
Most blacks with money have been beaten to submission
Yeezy with the big house, did it way different
Never listen to Hollywood producers
Don't stare at money too long, it's Medusa
The ultimate Gemini has survived
I wasn't supposed to make it past 25

Yeah, you're lookin' at the church in the night sky
Wonderin' whether God's gonna say hi
Oh, you're lookin' at the church in the night sky
And you wonder where is God in your nightlife
Yeah, you're lookin' at the church in the night sky
(Father, Father, Father in the night sky)
Wonderin' whether God's gonna say hi
Yeah, I feel like I'm home, yeah, yeah

I've been wakin' the spirits of millions more to come
A million illegally downloaded my truth over the drums
I believe in the children, listen to the kids, bro
If the phone ringin', go and get your kids, ho
Brother Don Muhammad told the minister about the presentation
He sat back and smiled
Black on black lies is worse than black on black crime
The Jews share their truth on how to make a dime
Most black men couldn't balance a checkbook
But buy a new car, talkin' 'bout ""how my neck look?""
Well, it all looks great
Four hundred years later, we buyin' our own chains
The light is before us brothers, so the devil workin' hard
Real family stick together and see through the mirage
The smokescreens, perceptions of false reality
Who the real owner if your boss gets your salary?
I am one with the people
I am one with the people (Real!)
I've been woken from enlightened man's dream
Checkin' Instagram comments to crowdsource my self-esteem
Let me not say too much or do too much
'Cause if I'm up way too much, I'm out of touch
I'm prayin' a out-of-body experience will happen
So the people can see my light, now it's not just rappin'
God, I have humbled myself before the court
Drop my ego and confidence was my last resort
I know, I know He got a plan, I know I'm on Your beams
One set of footsteps, You was carryin' me
When I turned on the news and they was buryin' me
One set of footsteps, You was carryin' me
When I was negotiatin' with Apple, it was Larry and me
Told Tim Cook to call me, I was scary to see
I would've took a hundred million and gave 20 to Hov
I heard it's the way they did it when we only had a stove
But it's better that I stayed at home with my folks
'Cause if Jay a billionaire then I'ma never go broke
Only thing I ask is next time I'm on stage we all go
We all go
Not just by myself, lookin' for niggas like where's Waldo
She got the same shoes as my wife but she copped 'em at Aldo
Modern-day MJ, with a off-the-wall flow

Nightlife, walk all over me
Walk all over me
I'm deliverin' everything I've ever sent that you'll bring
Fly, fly, fly overseas
Fly overseas
Oh, anywhere, everything but in between
Oh, yeah

Yeah, you're lookin' at the church in the night sky
Wonderin' whether God's gonna say hi
Oh, you're lookin' at the church in the night sky
And you wonder where is God in your nightlife
Yeah, you're lookin' at the church in the night sky
Wonderin' whether God's gonna say hi
(Father, Father, Father in the night sky)
Oh, you're lookin' at the church in the night sky
And you wonder where is God in your nightlife
(Father, Father, Father in the night sky)

Please face me when I speak
Please say to me somethin' before you leave
You've been treatin' me like I'm invisible, now I'm visible to you
Oh, the invisible truths they sold
I can't quite understand the games you play
Understand, understand, understand I'm standin' under oath
And I promised I, I wouldn't fall anymore
But I'm cryin' at the bar
I'm wishin' that you saw my scars, man
I'm wishin' that you came down here and stood by me
And looked at me like you knew me
But I feel so alone
Like I don't know anyone except the night sky above

Yeah, you're lookin' at the church in the night sky
Wonderin' whether God's gonna say hi
Oh, you're lookin' at the church in the night sky
And you wonder where is God in your nightlife
Yeah, you're lookin' at the church in the night sky
(Father, Father, Father in the night sky)
Wonderin' whether God's gonna say hi
Oh, you're lookin' at the church in the night sky
And you wonder where is God in your nightlife
(Father, Father, Father in the night sky)"
152,Lift Yourself,"Hard to see, ooh
The hang ups we have today
Said we need to strive for more liberty
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Lift yourself up on your feet, let's get it on
Hard to see, ooh
The hang ups we have today
Said we need to strive for more liberty
Lift yourself up on your feet
Lift yourself up on your feet
Lift yourself up on your feet
Lift yourself up on your feet
Lift


Lift your- lift your-, lift yourself
Lift-lift your-, lift your-, lift your-, lift your-, lift-lift

Hard to see, ooh
The hang ups we have today-ay-ay
But they don't really realize, though
Said we need to strive for more liberty
This next verse, this next verse though
Lift yourself up on your feet
These bars
Lift yourself up on your feet
Watch this, go

Poopy-di scoop
Scoop-diddy-whoop
Whoop-di-scoop-di-poop
Poop-di-scoopty
Scoopty-whoop
Whoopity-scoop, whoop-poop
Poop-diddy, whoop-scoop
Poop, poop
Scoop-diddy-whoop
Whoop-diddy-scoop
Whoop-diddy-scoop, poop"
153,All Mine,"Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle

Fuck it up, fuck it up
Pussy good, go 'n back it up
Pipe her up, I'ma pipe her up
Make her mine, I done fell in love
Juicy thing, make that pussy sing
One more time, baby, do it big
Make it cry, come boohoo this shit

Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle

If I pull up with a Kerry Washington
That's gon' be an enormous scandal
I could have Naomi Campbell
And still might want me a Stormy Daniels
Sometimes you gotta bag the boss up
I call that takin' Corey Gambles
Find yourself up in the food court
You might have to enjoy a sample
All these thots on Christian Mingle
Almost what got Tristan single
If you don't ball like him or Kobe
Guarantee that bitch gonna leave you
Ayy, time is extremely valuable
And I prefer to waste it on girls that's basic
That's just some Ye shit
Right now, let's do what we want
Let's have a threesome: me, you, and a blunt
I love your titties 'cause they prove
I can focus on two things at once

Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle
Get the genie out the bottle

Let me hit it raw like fuck the outcome
Ayy, none of us'd be here without cum
Ayy, if it ain't all about the income
Ayy, ayy, let me see you go ahead and spend some
Ayy, if you drivin' 'round in some Dri-Fit
Ayy, I'ma think that you the type to dry snitch
Hm, mhm, if I see you pull up with the three stripes
Ayy, ayy, I'ma fuck around and make you my bitch

Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle
Get the genie out the bottle"
